institution,country,platform,career_page,priority
Thompson Rivers University,Canada,HRSmart,https://www.tru.ca/careers/faculty.html,1
Royal Roads University,Canada,Custom,https://ourpeople.royalroads.ca/careers/associate-faculty-contractor-opportunities,1
Athabasca University,Canada,Custom,https://www.athabascau.ca/careers/index.html,1
University Canada West,Canada,Custom,https://www.ucanwest.ca/careers,1
Yorkville University,Canada,Custom,https://www.yorkvilleu.ca/job-postings/,1
University of Ottawa - Telfer School of Management,Canada,Custom,https://telfer.uottawa.ca/en/faculty-staff/academic-careers/,1
York University,Canada,Custom,https://www.yorku.ca/about/careers/,1
Toronto Metropolitan University,Canada,Custom,https://hr.cf.torontomu.ca/ams/faculty/,1
Queen's University - Smith School of Business,Canada,Custom,https://smith.queensu.ca/about/careers/,1
University of Waterloo,Canada,Custom,https://uwaterloo.ca/careers/current-opportunities/faculty-opportunities,1
Laurentian University,Canada,Custom,https://laurentian.ca/about/careers/faculty-vacancies,1
University of British Columbia,Canada,Workday,https://hr.ubc.ca/careers/faculty-careers,1
University of Victoria - Gustavson School of Business,Canada,Custom,https://www.uvic.ca/gustavson/info-for/industry-and-community/career-opportunities/index.php,1
University of New Brunswick,Canada,Custom,https://www.unb.ca/hr/careers/academic.php/_assets/documents/index.html,1
Carleton University,Canada,Custom,https://carleton.ca/deputyprovost/,1
