Institution,Job Title,URL
Thompson Rivers University,Skip to main,https://www.tru.ca/careers.html#maincontent
Thompson Rivers University,Faculty Services,https://www.tru.ca/research/research-services/research-services-faculty.html
Thompson Rivers University,Funding Opportunities,https://www.tru.ca/research/research-services/research-services-faculty/faculty-research-funding.html
Thompson Rivers University,Faculty & Staff Links,https://www.tru.ca/staff
Thompson Rivers University,Careers,https://www.tru.ca/careers
Thompson Rivers University,Careers,https://www.tru.ca/careers.html
Thompson Rivers University,Faculty Positions,https://www.tru.ca/careers/faculty.html
Thompson Rivers University,Staff Positions,https://www.tru.ca/careers/staff.html
Thompson Rivers University,Health and Well-being Benefits,https://www.tru.ca/careers/health-and-well-being-benefits.html
Thompson Rivers University,Workplace Wellness Offerings,https://www.tru.ca/careers/health-and-well-being-benefits/workplace-wellness-offerings.html
Thompson Rivers University,Leave for Change,https://www.tru.ca/careers/health-and-well-being-benefits/leave-for-change.html
Thompson Rivers University,Testimonials from TRU Employees,https://www.tru.ca/careers/health-and-well-being-benefits/leave-for-change/testimonials.html
Thompson Rivers University,Eligibility,https://www.tru.ca/careers/health-and-well-being-benefits/leave-for-change/eligibility.html
Thompson Rivers University,How to Apply,https://www.tru.ca/careers/health-and-well-being-benefits/leave-for-change/how-to-apply.html
Thompson Rivers University,FAQ,https://www.tru.ca/careers/health-and-well-being-benefits/leave-for-change/faq.html
Thompson Rivers University,Tips for Applying,https://www.tru.ca/careers/tips.html
Thompson Rivers University,Contact Us,https://www.tru.ca/careers/contact-us.html
Thompson Rivers University,Rights of Temporary Foreign Workers,https://www.tru.ca/careers/rights-of-temporary-foreign-workers.html
University Canada West,Careers,https://www.ucanwest.ca/hr
University Canada West,Current Openings,https://www.ucanwest.ca/careers
University Canada West,New Employees,https://www.ucanwest.ca/careers/new-employees
University Canada West,Current Employees,https://www.ucanwest.ca/careers/current-employees
University Canada West,Career Development Centre,https://www.ucanwest.ca/students/student-affairs/career-development-centre
University Canada West,Open Educational Resources,https://www.ucanwest.ca/academics/library/faculty-research-support
University Canada West,Education & Career Tips,https://www.ucanwest.ca/blog/education-careers-tips
